title,year,score,scored_by,members,rank,genres,demographics
Kyouryuu Wakusei,1993,6.38,160,841,8212,"Adventure, Fantasy, Sci-Fi",
Ookiku Furikabutte: Natsu no Taikai-hen,2010,7.95,24163,47431,791,Sports,Seinen
Hipira-kun,2009,6.07,1585,3665,10098,"Comedy, Fantasy",Kids
Shiki,2010,7.71,273467,641203,1346,"Horror, Mystery, Supernatural, Suspense",Shounen
DigiGirl Pop!: Strawberry & Pop Mix Flavor,2003,5.74,151,888,11863,"Comedy, Sci-Fi",
Midnight Horror School,2003,6.3,158,1036,8688,Comedy,
Masuda Kousuke Gekijou: Gag Manga Biyori +,2010,6.89,963,3212,5134,Comedy,Shounen
Tantei Opera Milky Holmes,2010,6.9,17892,47894,5083,"Comedy, Mystery",
Ookami-san to Shichinin no Nakama-tachi,2010,7.15,133130,287821,3822,"Comedy, Romance",
Andersen Monogatari (TV),1971,6.22,562,1570,9160,"Drama, Fantasy",Kids
Yojouhan Shinwa Taikei,2010,8.55,155455,489170,134,"Award Winning, Comedy, Mystery, Romance, Suspense",
K-On!!,2010,8.18,410068,745270,453,"Award Winning, Comedy",
Ring ni Kakero 1: Shadow-hen,2010,6.43,856,2586,7886,Sports,Shounen
Zukkoke Knight: Don De La Mancha,1980,5.74,347,1268,11850,"Adventure, Comedy, Romance",
B-gata H-kei,2010,6.83,226716,407578,5442,"Comedy, Romance, Ecchi",Seinen
Seton Doubutsuki,1989,6.76,512,1279,5826,"Adventure, Fantasy",
Gon,2012,6.01,996,2587,10420,"Action, Adventure",Kids
The Marshmallow Times,2004,6.7,696,1920,6190,Slice of Life,
Cybot Robocchi,1982,6.08,221,800,10009,"Comedy, Sci-Fi",
Pachislo Kizoku Gin,2001,5.91,234,1688,10958,"Action, Suspense",
Shin Obake no Q-tarou,1971,5.87,384,955,11162,"Comedy, Supernatural",
Obake no Q-tarou (1985),1985,6.27,509,1165,8895,"Comedy, Supernatural",Kids
Time Bokan Series: Gyakuten Ippatsuman,1982,5.87,603,1773,11165,"Comedy, Sci-Fi",
Chi-Sui Maru,2010,5.8,138,925,11571,Comedy,
Sennin Buraku,1963,5.54,331,1412,12687,"Comedy, Ecchi",
Shin Koihime†Musou: Otome Tairan,2010,6.93,8585,22445,4919,"Action, Adventure, Comedy, Ecchi",
Karakuri Kengou Den Musashi Lord,1990,6.06,418,1256,10120,Adventure,
Highschool of the Dead,2010,7.06,989841,1597048,4328,"Action, Horror, Suspense, Ecchi",Shounen
Densetsu no Yuusha no Densetsu,2010,7.49,141780,320039,2120,"Action, Adventure, Fantasy",
Cooking Papa,1992,6.73,726,2995,6023,"Comedy, Gourmet",
Kuragehime,2010,8.11,118997,262057,547,Comedy,Josei
Mighty Orbots,1984,5.72,313,1115,11965,"Adventure, Comedy, Sci-Fi",
Shin Minashigo Hutch,1974,6.31,826,1691,8621,"Adventure, Comedy, Drama",
Konchuu Monogatari Minashigo Hutch (1989),1989,6.7,1218,2362,6168,"Adventure, Comedy, Drama",
Sockies: Frontier Quest,2011,,,450,15563,Comedy,
Gegege no Kitarou: Jigoku-hen,1988,6.26,602,1720,8950,"Adventure, Comedy, Horror, Supernatural",
Eagle Sam,1983,,,735,21413,"Comedy, Sports",
Bouken Shounen Shadar,1967,6.03,423,1247,10284,"Adventure, Horror",
Bouken Korobokkuru,1973,5.88,189,727,11102,Adventure,
Bouken Gabotenjima,1967,5.92,194,847,10910,Adventure,
The World of Golden Eggs,2005,6.4,296,1342,8082,Comedy,
Hoshi Shinichi Short Short,2007,,,526,22223,"Comedy, Sci-Fi",
Akuma-kun,1989,6.46,969,3134,7717,"Adventure, Horror, Supernatural",
Guruguru Town Hanamaru-kun,1999,6.09,141,650,9930,Comedy,Kids
Hime Chen! Otogi Chikku Idol Lilpri,2010,6.96,4518,12108,4771,,
Hokahoka Kazoku,1976,5.89,300,1000,11092,Comedy,
Genji Tsuushin Agedama,1991,6.53,739,2527,7178,"Action, Comedy, Sci-Fi",
Aa Harimanada,1992,6.21,898,2470,9189,Sports,Seinen
Jewelpet Twinkle☆,2010,7.42,5843,14551,2370,,
Baby Felix,2000,5.49,256,948,12881,Comedy,Kids
Muumin,1969,7.15,2641,7763,3818,"Adventure, Fantasy, Slice of Life",
Muumin (1972),1972,6.55,1119,3283,7106,"Adventure, Fantasy, Slice of Life",
Anime Yasei no Sakebi,1982,5.99,158,709,10482,"Adventure, Drama",
Wanpaku Oomukashi Kum Kum,1975,6.11,276,1145,9794,"Adventure, Comedy",Kids
Rio: Rainbow Gate!,2011,5.84,15809,44409,11317,"Comedy, Ecchi",
Keshikasu-kun,2010,,,453,18121,Comedy,Kids
Hyakka Ryouran: Samurai Girls,2010,6.74,80805,192470,5955,"Action, Comedy, Romance, Ecchi",
Ai no Senshi Rainbowman,1982,6.28,603,1676,8837,"Adventure, Sci-Fi",
SD Gundam Sangokuden Brave Battle Warriors,2010,6.27,2034,5833,8905,,
Tegamibachi Reverse,2010,7.7,28050,66994,1356,"Adventure, Fantasy",Shounen
Hanakappa,2010,6.03,196,1172,10295,Comedy,Kids
Ukkari Pénélope,2006,,,594,16238,"Award Winning, Slice of Life",Kids
Ketsuinu,2010,,,667,18124,Comedy,
Shin Mitsubachi Maya no Bouken,1982,6.42,2334,4448,7976,"Adventure, Comedy",
Chougattai Majutsu Robot Ginguiser,1977,5.75,662,1707,11806,"Adventure, Sci-Fi",
Cyborg 009 (TV),1968,6.82,2615,7533,5512,"Adventure, Sci-Fi",Shounen
Sora no Otoshimono Forte,2010,7.42,173274,303228,2391,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Shounen
Marie & Gali ver. 2.0,2010,5.97,384,1524,10590,Comedy,
Metal Fight Beyblade: Baku,2010,7.07,39512,61851,4278,"Adventure, Comedy, Sports",Kids
Oi! Ryouma,1992,6.64,483,1340,6567,"Adventure, Drama",
MM!,2010,7.01,127778,245182,4588,"Comedy, Ecchi",
Gosick,2011,8.04,245880,597324,654,"Drama, Mystery, Romance",
Hourou Musuko,2011,7.68,43590,136573,1431,"Drama, Romance",Seinen
Animentary: Ketsudan,1971,6.33,365,2163,8461,,
Togainu no Chi,2010,6.21,37567,92983,9240,"Action, Boys Love, Sci-Fi, Suspense",
Otome Youkai Zakuro,2010,7.42,51530,130649,2383,"Romance, Supernatural",Seinen
Doubutsu Kankyou Kaigi,2010,,,582,21339,,Kids
Chibikko Kaijuu Yadamon,1967,,,639,20836,"Comedy, Supernatural",Kids
Fushigi Mahou Fun Fun Pharmacy,1998,7.09,1251,4638,4184,,Kids
Baka to Test to Shoukanjuu Ni!,2011,7.66,231564,383835,1494,"Comedy, Romance",
Biriken,1988,,,530,20533,Comedy,Kids
Biriken Nandemo Shoukai,1989,,,482,20531,Comedy,Kids
Kami nomi zo Shiru Sekai,2010,7.64,346034,658762,1550,"Comedy, Romance, Supernatural",Shounen
Fortune Arterial: Akai Yakusoku,2010,6.66,62731,121095,6446,"Comedy, Romance, Supernatural",
Gokujou!! Mecha Mote Iinchou Second Collection,2010,6.29,1016,3601,8761,"Comedy, Romance",Shoujo
Shin Ace wo Nerae!,1978,6.75,1072,4028,5898,"Drama, Romance, Sports",Shoujo
Time Bokan Series: Time Patroltai Otasukeman,1980,6.28,699,1744,8829,"Action, Adventure, Comedy, Sci-Fi",
Shinryaku! Ika Musume,2010,7.41,94903,212923,2462,Comedy,Shounen
Kotencotenco,2005,,,570,18290,"Adventure, Comedy, Fantasy",Kids
Digimon Xros Wars,2010,6.69,28771,54296,6237,"Action, Adventure, Comedy, Fantasy",
Hidan no Aria,2011,6.77,201792,391872,5783,"Action, Comedy, Romance, Ecchi",
Seitokai Yakuindomo,2010,7.54,228724,517293,1911,Comedy,Shounen
Amagami SS,2010,7.27,166983,406081,3146,Romance,
Ryuuichi Manga Gekijou Onbu Obake,1972,,,576,14907,Supernatural,
Doraemon (2005),2005,7.74,10105,22941,1255,"Comedy, Sci-Fi","Kids, Shounen"
Soredemo Machi wa Mawatteiru,2010,7.46,24267,70367,2227,Slice of Life,Seinen
Ultraman Kids: Haha wo Tazunete 3000-man Kounen,1991,6.18,405,1146,9429,,Kids
Hajime Ningen Gyatoruz,1974,6.15,681,1440,9578,Comedy,
Hajime Ningen Gon,1996,6.48,917,1525,7559,Comedy,
Futarigurashi,1998,5.8,377,2725,11581,"Comedy, Romance, Ecchi",
Ore no Imouto ga Konnani Kawaii Wake ga Nai,2010,6.92,400370,715007,4989,Comedy,
Nobara no Julie,1979,6.04,472,1394,10223,"Adventure, Drama",
Inakappe Taishou,1970,6.26,608,1327,8951,"Comedy, Sports",
Panty & Stocking with Garterbelt,2010,7.74,217533,441265,1269,"Action, Comedy, Fantasy, Ecchi",
Okawari-Boy Starzan-S,1984,6.13,496,1268,9698,"Action, Adventure, Sci-Fi",
Alice SOS,1998,6.06,594,2647,10102,Adventure,
Domo TV,2008,6.3,801,1750,8665,Comedy,
Shounen Ashibe (TV),1991,5.88,190,977,11140,Slice of Life,Seinen
Shounen Ashibe 2,1992,5.8,143,780,11556,Slice of Life,Seinen
Kore wa Zombie desu ka?,2011,7.32,353372,652116,2876,"Action, Comedy, Supernatural, Ecchi",
Chouriki Robo Galatt,1984,6.03,520,1559,10287,"Adventure, Comedy, Sci-Fi",
Yosuga no Sora,2010,5.99,283726,540656,10481,"Drama, Romance, Ecchi",
Dolphin Ouji,1965,,,678,21254,"Action, Adventure, Sci-Fi",Kids
Nippon-ichi no Otoko no Tamashii,1999,5.91,272,1961,10955,"Comedy, Romance",
Nippon-ichi no Otoko no Tamashii 2,1999,5.93,204,1083,10861,"Comedy, Romance",
Ganbare! Marine Kid,1966,5.59,192,780,12551,"Action, Adventure, Sci-Fi",Kids
Kaitei Shounen Marine,1969,6.16,534,1405,9497,"Action, Adventure, Sci-Fi",Kids
Saru Getchu: On Air 2nd,2006,5.87,185,841,11156,"Adventure, Comedy, Fantasy, Romance",Kids
Dantalian no Shoka,2011,7.22,59435,157918,3425,"Action, Mystery, Supernatural",
Mouretsu Pirates,2012,7.13,28484,77696,3961,"Award Winning, Sci-Fi",
Star Driver: Kagayaki no Takuto,2010,7.18,46942,120634,3659,"Romance, Sci-Fi",
Toaru Majutsu no Index II,2010,7.51,260526,482453,2043,"Action, Fantasy, Sci-Fi",
Denkou Chou Tokkyuu Hikarian,2002,6.3,280,1204,8663,"Action, Adventure",Kids
MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,2010,5.91,387,1625,10952,"Action, Comedy",
Tono to Issho: Ippunkan Gekijou,2010,6.16,1540,3796,9525,Comedy,Seinen
Stitch!: Zutto Saikou no Tomodachi,2010,6.08,870,2837,9987,"Adventure, Comedy",Kids
Origami Warriors,2004,6.41,197,626,8049,"Action, Adventure",
Kuruneko 2nd Season,2010,6.98,510,1893,4704,Slice of Life,
Obake no... Holly,1991,6,367,1006,10447,"Comedy, Fantasy",Kids
Edokko Boy: Gatten Tasuke,1990,6.37,254,1156,8265,"Action, Comedy",
IS: Infinite Stratos,2011,6.6,375733,671592,6819,"Action, Comedy, Romance, Sci-Fi, Ecchi",
RPG Densetsu Hepoi,1990,6.63,605,1498,6660,"Adventure, Fantasy",
Hakuouki: Hekketsuroku,2010,7.55,41911,89779,1871,"Action, Drama, Supernatural",Josei
Oden-kun,2005,,,593,19489,Comedy,
Arakawa Under the Bridge x Bridge,2010,7.7,90035,172179,1367,"Comedy, Romance",Seinen
Nogsaegjeoncha Hamos,1997,6.24,336,1180,9058,"Action, Adventure, Fantasy",
Pokemon Best Wishes!,2010,6.47,65981,113216,7673,"Action, Adventure, Comedy, Fantasy",Kids
Chirorin Mura Monogatari,1992,6.69,586,1343,6233,Slice of Life,Kids
Tsuruhime Ja!,1990,5.94,215,666,10791,Comedy,Kids
Motto To LOVE-Ru,2010,7.25,199508,351655,3277,"Comedy, Romance, Sci-Fi, Ecchi",Shounen
Dae Jang Geum: Jang Geum's Dream 2,2007,7.31,1009,2544,2934,"Adventure, Comedy, Gourmet",
Super Robot Taisen OG: The Inspector,2010,7.21,4057,11124,3484,Sci-Fi,
Steins;Gate,2011,9.07,1502991,2776433,5,"Drama, Sci-Fi, Suspense",
Bakuhatsu Gorou,1970,5.6,186,1021,12489,"Comedy, Sports",
Hanasaku Iroha,2011,7.89,133405,345871,905,Drama,
Fractale,2011,6.91,36294,86989,5034,"Adventure, Fantasy, Sci-Fi",
Dragon Crisis!,2011,6.6,89877,179221,6813,"Action, Fantasy, Romance",
Yumekui Merry,2011,6.89,64419,142138,5107,"Action, Supernatural",
Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,2010,6.18,175,1335,9383,"Comedy, Horror, Supernatural",
Battle Spirits: Brave,2010,7.17,2111,5334,3695,"Adventure, Fantasy, Sci-Fi",
Freezing,2011,6.77,177724,340189,5780,"Action, Drama, Romance, Sci-Fi, Ecchi",Seinen
Karl to Fushigi na Tou,2010,,,668,18052,"Adventure, Fantasy, Mystery",Kids
Denpa Onna to Seishun Otoko,2011,7.11,131401,320255,4041,"Comedy, Sci-Fi",
Chie-chan Funsenki: Jarinko Chie,1991,6.48,153,713,7548,"Comedy, Drama",Seinen
Ginga Hyouryuu Vifam 13,1998,6.42,203,1117,7940,"Adventure, Sci-Fi",
Miyanishi Tatsuya Gekijou: Omae Umasou da na,2010,6.3,682,1918,8689,Adventure,Kids
Seupideuwang Beongae,1998,6.18,279,861,9419,Sports,
Pururun! Shizuku-chan,2006,5.94,132,735,10779,Comedy,Kids
A-jang.com,2001,5.66,257,893,12231,Fantasy,
Rainbow Sentai Robin,1966,5.92,276,1207,10881,"Action, Adventure, Sci-Fi",
Yume-iro Pâtissière SP Professional,2010,7.57,24661,44769,1793,"Gourmet, Slice of Life",Shoujo
Ninpen Manmaru,1997,,,798,19395,Comedy,Shounen
Coppelion,2013,6.47,54872,126203,7636,"Action, Drama, Sci-Fi",Seinen
Dororon Enma-kun Meeramera,2011,6.44,6586,19651,7829,"Action, Comedy, Supernatural, Ecchi",Shounen
Mitsudomoe Zouryouchuu!,2011,7.64,27439,48993,1557,Comedy,Shounen
Beelzebub,2011,7.84,293653,627466,1022,"Action, Comedy, Supernatural",Shounen
Ichigo Ichie: Kimi no Kotoba,2010,5.95,120,817,10688,Comedy,
Zero Tester,1973,6.07,571,1574,10080,"Adventure, Sci-Fi",
Zero Tester: Chikyuu wo Mamore!,1974,5.93,410,1191,10816,"Adventure, Sci-Fi",
Pururun! Shizuku-chan Aha,2007,,,484,19884,Comedy,Kids
Robin-kun to 100 nin no Otomodachi,2010,,,458,14819,Comedy,Kids
Cardfight!! Vanguard,2011,7.03,28261,57758,4476,Action,
Bucket de Gohan,1996,,,610,20614,Comedy,Seinen
Shokupan Mimi,2010,5.65,933,2166,12291,"Comedy, Gourmet",
Tachumaru Gekijou,2010,,,522,15774,Comedy,
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,2011,6.06,42791,95745,10131,"Comedy, Romance, Ecchi",
Haiyoru! Nyaruani: Remember My Love(craft-sensei),2010,6.23,12131,30435,9094,"Comedy, Sci-Fi",
Big X,1964,6.08,625,1871,10004,"Action, Sci-Fi",Shounen
30-sai no Hoken Taiiku,2011,6.61,27396,66817,6777,"Comedy, Romance, Ecchi",
Kakko Kawaii Sengen!,2010,5.42,500,1786,13127,Comedy,
Kimi ni Todoke 2nd Season,2011,7.98,315005,548160,748,"Drama, Romance",Shoujo
Moshidora,2011,6.86,9399,23007,5304,"Drama, Sports",
Maria†Holic Alive,2011,6.94,31215,69953,4858,"Comedy, Girls Love",Seinen
Astarotte no Omocha!,2011,6.45,71990,154220,7736,"Comedy, Fantasy, Romance, Ecchi",Seinen
Itsuka Tenma no Kuro Usagi,2011,6.49,60272,137371,7474,"Action, Comedy, Romance, Supernatural, Ecchi",
Mahou Shoujo Madoka★Magica,2011,8.38,808104,1392303,237,"Award Winning, Drama, Suspense",
Shima Shima Tora no Shimajirou,1993,5.96,578,1424,10628,"Adventure, Comedy, Fantasy",Kids
Hello Kitty no Stump Village,2005,6.32,543,1503,8567,Fantasy,Kids
A-Channel,2011,6.92,46082,104450,4961,Comedy,
Hyouga Senshi Gaislugger,1977,5.67,509,1371,12188,Sci-Fi,
Shin-Men,2010,6.17,501,2164,9435,"Action, Comedy",Seinen
Qin Shi Mingyue: Bai Bu Fei Jian,2007,6.3,678,3987,8702,"Action, Fantasy",
Harimogu Harry,1996,,,471,21996,,Kids
Nyani ga Nyandaa Nyandaa Kamen,2000,6.87,743,1637,5236,Comedy,Kids
Hanasaka Tenshi Tenten-kun,1998,,,700,21961,"Comedy, Fantasy",Shounen
Bit the Cupid,1995,,,574,20533,Comedy,
McDull: Chuntian Huahua Zhonghua Bowuguan,2006,,,403,18802,Comedy,Kids
Xiang Qi Wang,2006,6.08,170,678,9993,,
Level E,2011,7.39,41362,99481,2534,"Comedy, Sci-Fi",Shounen
Manga Nihon Emaki,1977,,,685,18736,,
SKET Dance,2011,8.2,88100,236888,425,Comedy,Shounen
Chengyu Donghua Lang,1987,5.95,122,437,10727,,Kids
Chou Supercar Gattiger,1977,6.02,574,1233,10356,"Action, Sci-Fi",
High School Mystery: Gakuen Nanafushigi,1991,6.42,521,2216,7945,"Horror, Mystery",
Osomatsu-kun (1988),1988,6.8,1909,7252,5632,Comedy,Shounen
Osomatsu-kun,1966,6.49,900,4131,7495,Comedy,Shounen
Shin Bikkuriman,1989,5.69,480,1095,12077,"Comedy, Fantasy",
Suite Precure♪,2011,7.29,7285,18516,3042,Action,
Hamster Club,2000,6.49,296,1291,7539,,Kids
Hyper ERT,2008,,,266,22361,,Kids
Zhi Duoduo Zhi Duoduo,2000,,,324,17418,,Kids
Captain (TV),1983,6.44,548,1366,7822,Sports,Shounen
Sue Cat,1980,6.05,483,1255,10162,Adventure,
Samurai Giants,1973,6.41,613,2074,7991,Sports,Shounen
Ao no Exorcist,2011,7.47,1211763,2038434,2177,"Action, Supernatural",Shounen
Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,2011,6.63,34671,93516,6655,"Comedy, Drama, Romance, Ecchi",
Sekaiichi Hatsukoi,2011,7.6,123493,228801,1676,Boys Love,
Nekogami Yaoyorozu,2011,6.62,7469,26147,6742,"Comedy, Supernatural",Seinen
Maken-Ki!,2011,6.3,140732,316273,8689,"Action, Ecchi",Shounen
Ikoku Meiro no Croisée The Animation,2011,7.41,24937,61750,2441,Slice of Life,Seinen
Tiger & Bunny,2011,7.82,95009,237274,1057,"Action, Comedy, Mystery, Sci-Fi",
Lan Mao,1999,6.05,234,954,10207,"Adventure, Comedy",
Wo Wei Ge Kuang,2001,,,464,16461,,
Fuwa Aoyun Manyouji,2007,,,338,21622,"Comedy, Sports",
Hulu Xiongdi,1986,6.52,284,715,7350,,
Weiqi Shaonian,2005,6.36,161,787,8328,,
Da Zuiba Dudu,2007,,,322,21068,Slice of Life,Kids
The Primitives: Bongo and Grunge,2005,,,239,15941,Comedy,
Gintama',2011,9.02,254866,606193,11,"Action, Comedy, Sci-Fi",Shounen
Kyouryuu Tankentai Born Free,1976,5.9,577,1676,11022,"Action, Sci-Fi",
Phi Brain: Kami no Puzzle,2011,7.15,45916,112969,3822,"Action, Mystery, Suspense",
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2011,8.29,1028784,1695139,315,"Drama, Supernatural",
Hyouge Mono,2011,7.95,5441,31572,787,,Seinen
Shouwa Monogatari,2011,6.84,1582,6088,5413,Drama,
Yu☆Gi☆Oh! Zexal,2011,6.45,48373,84942,7795,"Action, Fantasy",Shounen
Bakuman. 2nd Season,2011,8.33,221057,370104,284,"Comedy, Drama, Romance",Shounen
Toriko,2011,7.51,54213,138954,2044,"Action, Adventure, Comedy, Fantasy, Gourmet",Shounen
Nurarihyon no Mago: Sennen Makyou,2011,7.92,86699,172064,843,"Action, Supernatural",Shounen
Seikon no Qwaser II,2011,6.28,65453,144915,8819,"Action, Fantasy, Ecchi",Seinen
Hoshizora e Kakaru Hashi,2011,6.67,92565,185255,6423,"Comedy, Romance, Ecchi",
Kami nomi zo Shiru Sekai II,2011,7.86,248418,407322,972,"Comedy, Romance, Supernatural",Shounen
Fate/Zero,2011,8.26,906496,1589369,346,"Action, Fantasy",
Softenni,2011,6.48,9344,26066,7595,"Comedy, Sports, Ecchi",Shounen
Mayo Chiki!,2011,7.2,277169,519882,3553,"Comedy, Romance, Ecchi",
Manga Hajimete Monogatari,1978,6.19,207,902,9329,"Adventure, Comedy",
Manga Doushite Monogatari,1984,6.14,155,592,9674,"Adventure, Comedy",Kids
Manga Naruhodo Monogatari,1986,6.01,113,507,10390,Adventure,Kids
Manga Hajimete Omoshiro Juku,1989,6.43,177,646,7874,Adventure,Kids
Dog Days,2011,6.83,89199,194572,5452,"Action, Adventure, Fantasy",
Sacred Seven,2011,6.58,34257,81411,6945,"Action, Sci-Fi",
No.6,2011,7.55,214799,460276,1887,"Action, Drama, Mystery, Sci-Fi",
Usagi Drop,2011,8.32,254037,521859,292,Slice of Life,Josei
C: The Money of Soul and Possibility Control,2011,7.14,154197,336382,3868,"Action, Mystery, Sci-Fi, Suspense",
Nichijou,2011,8.47,397533,972353,174,Comedy,Shounen
DD Hokuto no Ken,2011,6.06,1915,5585,10107,Comedy,Seinen
HenSemi (TV),2011,6.48,18608,48202,7561,"Comedy, Ecchi",Seinen
Bada-ui Jeonseol Jangbogo,2002,6.05,232,1037,10182,"Action, Adventure, Comedy, Mystery",
Nyanpire The Animation,2011,6.64,15298,29824,6566,"Comedy, Supernatural",
Bug tte Honey,1986,6.36,360,1205,8278,"Adventure, Comedy",
Maji de Watashi ni Koi Shinasai!,2011,6.64,134037,321515,6559,"Action, Comedy, Romance, Ecchi",
"Yondemasu yo, Azazel-san. (TV)",2011,7.5,35754,87624,2101,"Comedy, Supernatural",Seinen
Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!,2011,6.07,3082,10061,10043,,
Uchuu Majin Daikengou,1978,5.84,666,1799,11325,"Adventure, Sci-Fi",
Tamayura: Hitotose,2011,7.32,14770,51471,2896,Slice of Life,
Kagee Grimm Douwa,1980,,,492,17925,"Adventure, Drama, Fantasy, Romance",Kids
Ki-Fighter Taerang,2002,,,381,18130,Adventure,Kids
Mayutoro The Toons,2003,,,360,18798,"Comedy, Fantasy",Kids
Sekai Monoshiri Ryoko,1971,5.75,249,899,11783,Comedy,
Ton-Ton Atta to Niigata no Mukashibanashi,2004,,,339,16074,Comedy,
Ultra B,1987,6.22,1455,2331,9157,Comedy,
Pretty Rhythm: Aurora Dream,2011,7.43,9780,24850,2367,Sports,
Gyakkyou Burai Kaiji: Hakairoku-hen,2011,8.24,116371,211702,385,Suspense,Seinen
The iDOLM@STER,2011,7.61,55925,159230,1629,"Comedy, Drama",
Manga Nippon Mukashibanashi,1975,6.08,468,1254,10032,,
Sengoku Otome: Momoiro Paradox,2011,6.53,18841,51193,7226,"Action, Comedy, Sci-Fi",
Chou Dendou Robo Tetsujin 28-gou FX,1992,6.28,590,1917,8845,"Adventure, Sci-Fi",
Uta no☆Prince-sama♪ Maji Love 1000%,2011,7.01,100469,206000,4554,"Comedy, Romance",Josei
Tono to Issho: Gantai no Yabou,2011,6.39,1118,3448,8169,Comedy,Seinen
Last Exile: Ginyoku no Fam,2011,7.06,18136,48962,4288,"Action, Adventure, Sci-Fi",
Honto ni Atta! Reibai Sensei,2011,6.48,2817,8472,7567,"Comedy, Supernatural",Shounen
Ring ni Kakero 1: Sekai Taikai-hen,2011,6.37,764,2136,8237,Sports,
Happy Kappy,2011,5.46,447,1561,12982,"Comedy, Fantasy",Shoujo
Fireball Charming,2011,6.79,4857,9309,5691,Sci-Fi,
Suzy's Zoo: Daisuki! Witzy,2011,5.94,316,813,10789,,Kids
Jinrui wa Suitai Shimashita,2012,7.7,63641,200289,1377,"Adventure, Comedy, Fantasy, Sci-Fi",
Jewelpet Sunshine,2011,6.67,1859,6557,6361,Comedy,
Kinniku Banzuke: Kongou-kun no Daibouken!,2001,5.01,301,986,14025,Sports,Shounen
Metal Fight Beyblade 4D,2011,7.09,34790,54496,4155,"Adventure, Sports",Kids
Kamisama Dolls,2011,6.98,31810,75719,4699,"Action, Supernatural",Seinen
Shinryaku!? Ika Musume,2011,7.47,51576,105626,2212,Comedy,Shounen
Natsume Yuujinchou San,2011,8.56,126127,270528,127,"Slice of Life, Supernatural",Shoujo
Ben-To,2011,7.18,173287,343789,3680,"Action, Comedy, Gourmet",
Mashiro-iro Symphony: The Color of Lovers,2011,7.01,77448,161999,4585,"Drama, Romance",
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,2011,7.1,15916,30566,4114,"Action, Adventure, Comedy, Fantasy",
Aquarion Evol,2012,7.07,46362,110313,4261,"Fantasy, Romance, Sci-Fi",
Kyoukaisenjou no Horizon,2011,7,67615,188459,4598,"Action, Fantasy, Sci-Fi",
Puu-Neko,2011,5.67,187,1332,12206,Comedy,
Kimi to Boku.,2011,7.64,64416,195414,1551,Slice of Life,Shounen
Manyuu Hikenchou,2011,6.18,28259,89716,9402,"Action, Comedy, Ecchi",Seinen
Blood-C,2011,6.53,171045,403641,7249,"Action, Horror, Mystery, Supernatural",
Yuru Yuri,2011,7.56,157295,351725,1843,"Award Winning, Comedy, Girls Love",
Shiawase Haitatsu Taneko,2011,,,1610,15300,Comedy,
Inazuma Eleven Go,2011,7.03,56261,91858,4440,Sports,
Usavich IV,2011,6.57,1757,3248,7036,Comedy,
Working'!!,2011,7.81,168633,287614,1088,"Comedy, Romance",Seinen
Duel Masters Victory,2011,5.78,456,1695,11673,"Action, Adventure, Comedy, Fantasy",Kids
Shinseiki Duel Masters Flash,2006,5.66,223,977,12223,Comedy,Kids
Duel Masters Zero,2007,5.94,721,2274,10750,Action,Kids
Duel Masters Cross,2008,6.26,887,2567,8946,"Action, Adventure, Comedy, Fantasy",Kids
Duel Masters Cross Shock,2010,6.15,776,2413,9569,"Action, Adventure, Comedy, Fantasy",Kids
Fujilog,2011,5.62,160,732,12429,Comedy,
Hato no Oyome-san,2011,5.6,115,476,12494,Comedy,
Genki!! Ekoda-chan,2011,5.77,207,1350,11736,Comedy,
Shuukan Shimakou,2011,,,839,15498,Comedy,
Yakyuukyou no Uta,1977,6.58,617,2023,6966,"Drama, Sports",
Machine Hayabusa,1976,6.13,332,1340,9687,Action,
Kamisama no Memochou,2011,7.46,97995,248846,2244,"Drama, Mystery",
Ro-Kyu-Bu!,2011,6.75,36946,86102,5896,"Comedy, Sports, Ecchi",
C³,2011,6.56,84380,183190,7054,"Action, Comedy, Supernatural, Ecchi",
Persona 4 the Animation,2011,7.52,136124,277343,2019,"Action, Mystery, Sci-Fi, Supernatural",
Rerere no Tensai Bakabon,1999,6.05,472,1221,10155,Comedy,
R-15,2011,6.4,40245,94527,8077,"Comedy, Romance, Ecchi",
Mirai Nikki (TV),2011,7.38,1267446,2119703,2587,"Action, Supernatural, Suspense",Shounen
Hayan Ma-eum Baeggu,2000,6.4,232,1258,8105,Adventure,
Shiodome Cable TV,2011,,,463,15379,Comedy,
Morita-san wa Mukuchi.,2011,6.49,11429,26161,7489,Slice of Life,
Yasai no Yousei: N.Y.Salad,2007,,,611,17117,,Kids
Yasai no Yousei: N.Y.Salad 2nd Series,2008,,,455,17117,,Kids
Manga Nihon Keizai Nyuumon,1987,,,852,18737,Slice of Life,Seinen
Boku wa Tomodachi ga Sukunai,2011,7.13,471255,848032,3938,"Comedy, Romance, Ecchi",
Mawaru Penguindrum,2011,7.92,112251,316717,841,"Avant Garde, Drama, Mystery, Supernatural, Suspense",
Soccer Fever,1994,6.33,199,923,8510,Sports,
